Id,Hazard
6,2.7000871541112947
7,4.981245522144524
8,5.9707498045671334
9,3.6244961172068284
10,3.651035304688404
11,3.4342743147275105
13,4.88416000882303
14,3.8534261736703974
16,3.929949411890687
17,2.9547628252087486
18,4.859039636105856
20,3.503951860479098
27,7.1135220536937025
28,4.084723671467067
29,3.287749265130198
30,3.441320180087359
34,3.1483091466807953
35,4.013448765193371
36,4.1029663065031805
37,4.4120228110989705
38,3.025145695678697
40,3.93023991197659
42,4.3331123164912215
46,3.650272289050433
47,3.940692275176711
48,4.8681791761654525
49,5.840914147526641
51,3.6418732502653173
52,5.180593626548472
53,2.004903774484991
54,3.1092714497685927
55,2.926472651624659
56,5.931651065961141
57,2.553570801165579
60,4.552878207687144
61,3.1885443738805295
64,4.823550545484244
65,3.919699318019638
66,4.3007382392604
68,4.495835127480643
70,3.380904063682969
71,2.426652676037827
75,2.175543355214522
76,4.633274561785842
78,6.069464374049049
80,3.9221296697393084
81,4.839842299720643
82,4.505921611460616
83,3.947496913940377
85,2.9193751966461705
86,2.922892861133768
87,3.418384458511582
89,3.312093795287336
90,4.0511896803808005
91,4.186752510989997
92,4.686202419618322
95,3.3226095258932977
97,5.601141624374875
99,3.3953708167159715
101,4.148594338292082
102,4.164412519846156
103,2.9283815092984007
104,3.535713541281023
107,4.709867453262068
108,3.4677035209740774
111,3.1360428562096114
112,5.264835634565283
115,4.19807066182298
119,3.4714018993622635
121,3.7693597569649184
124,3.228676673413871
128,5.598406145939214
130,5.362240801732119
131,5.058010265030211
133,5.276904427058262
134,4.676316266485113
137,3.620971738809171
138,3.7846739359340074
142,5.541426489760942
143,4.765554983400012
144,7.5337429835430765
145,4.248676736079792
147,3.8557426690474763
148,5.7823218820375955
152,3.291245654739869
154,12.614606700278225
158,3.0810045152701013
159,3.538576524277084
160,4.806616257153815
161,4.650757848444161
164,2.235033474311597
165,3.6497413992608845
166,2.373976505970294
167,2.974682895137459
169,3.9787554523337145
170,4.912680255648375
171,5.011831247256866
175,2.9506362791594216
177,3.900603353122334
178,3.745083679871166
180,6.444534553066147
182,3.0754318389438344
184,7.68816273299165
185,6.832312063049175
186,3.893748817972435
190,4.198024268744457
191,3.448196184850431
192,2.8866099909356446
195,4.665767557749925
196,5.403470066981426
197,4.090520601791428
198,3.045091764331098
199,7.611767525029552
200,3.74032556661796
204,3.099794026104193
205,4.070429619447164
207,2.211958095228329
208,4.291624513437245
209,9.5791025828148
211,5.915560686546381
216,9.882515858652036
217,2.094173803976708
220,4.025297539879358
223,4.949517932054879
224,5.2831009793559
230,4.2402028058882255
232,3.7957498369686817
235,3.4800757143213357
236,4.939357913830319
238,3.293085424565659
240,2.4698813239282367
242,4.793835609692787
244,3.7046718712357354
245,3.4748488653109573
248,3.5993798782167903
251,4.027142418446737
256,3.547130891802691
258,6.346967226658947
259,4.122665719344927
261,4.292408534714645
267,4.261266636031104
268,3.893714347928141
270,4.801449730413085
272,8.073622062089527
273,3.029333309766719
275,2.008623222997855
276,2.9091592288945085
277,4.839910523102965
279,3.3957504830312484
283,4.235124255886757
284,4.410615425098669
286,3.2340592803104324
287,3.632980606833593
288,2.22805811540913
289,5.703324743830833
292,4.033415073476499
293,4.539677483515184
295,4.151102036966321
297,3.1781347885974416
301,4.095013819768056
303,2.9304276358943886
304,2.989350576045785
305,2.960874704936697
308,3.608590521875606
309,4.594055294222109
313,3.5473772599532767
314,4.188478486480982
315,3.5865812098137937
316,3.3232935834841975
318,4.833028625134461
320,5.004125050210074
324,4.123273579285879
325,4.683548366956323
326,2.878336224671191
327,3.3613115388153867
328,5.625622610536637
332,3.8451206313734927
333,7.008815052172153
336,3.438708260998645
339,3.8805647262131227
340,4.8445125597084155
342,4.6197464374569055
344,9.48044023348491
345,3.603823925933624
346,3.5669332910315306
349,4.408022815797235
353,3.744779838933902
355,3.898398015365185
360,2.8220845031458537
363,3.8028787050717447
366,3.449081558853281
367,2.891180136724878
369,4.016243108824516
371,5.034637301073482
372,3.079448503876491
374,2.6952972745683157
375,3.0222060095439574
378,3.4921059509465793
379,1.8299845595178084
381,4.337950143634744
382,3.0466083215757425
384,2.93818779735035
385,3.095177539655718
387,4.45908450796859
388,2.848719852740118
389,4.339329924843647
390,4.06412299756214
393,4.1960733670232395
394,5.108572227329336
395,3.382252348481325
397,2.6376333824280245
398,4.382522584930445
399,3.9860295873054525
403,3.7704648839575663
404,2.339226441740146
406,2.891436623494468
407,3.315044082286345
410,2.186939136803918
411,3.229098903646008
412,1.9808724982773354
413,4.93720567189842
417,4.496326848566714
419,3.0529301363703905
422,4.9653202134055245
425,3.1787667057674627
426,4.079103855816582
427,4.776716299563742
432,3.4217443861031978
434,3.555120621663342
437,3.1330782641794492
438,3.5527847148689475
440,5.8582593017567035
441,4.815944428586338
443,2.0248848650185414
445,4.9723416809080065
447,2.5543558989639927
449,3.389573759098622
450,4.08303888550758
451,3.614426895602712
453,4.292982392358643
